id,name,videoSrc,completeStatus,description,instruction,duration
c1,Standing Ham Stretch,2Y-hVLDe--g,0,Standing Ham Stretch,,30
c2,Quad Stretch,6DtArPmSTqw,0,Quad Stretch,,30
c3,Tricep Stretch,giQSxMHrqTk,0,Tricep Stretch,,30
c4,Side Lunge,wY5zm9l7rXE,0,Side Lunge,,30
c5,Calf Stretch,3ciHPSVn0-0,0,Calf Stretch,,30
c6,Cross Arm Stretch,S916bFCVkDo,0,Cross Arm Stretch,,30
c7,Cross Reach Stretch,j4bD2KXSTUQ,0,Cross Reach Stretch,,30
