name,videoSrc,id,completeStatus,description,instruction,duration
Breathing With Shoulder Raise,DDYwf_j-5C8,b1,0,Breathing With Shoulder Raise,,90
Breathing with Long Arms,IRr2fId-DE4,b2,0,Breathing with Long Arms,,90
Breathing With Arms,KhfeFn5Eoww,b3,0,Breathing With Arms,,90
Breathing with Shoulder Rolls,iwZj6zb40o8,b4,0,Breathing with Shoulder Rolls,,90
Breathing Arms Overhead,tYrwb4fS1So,b5,0,Breathing Arms Overhead,,90
Breathing Reaches,uRVwUh8LHLc,b6,0,Breathing Reaches,,90
Diaphramatic Breathing,ugmhD-hAULk,b7,0,Diaphramatic Breathing,,90
